Results of experiments stored in: ./experiments/CartPole-v1_3
Scores: (min: 14.0, avg: 237.75, max: 500.0)

Episode: 183, exploration: 0.15, score: 305.0
Scores: (min: 14.0, avg: 236.81, max: 500.0)

Episode: 184, exploration: 0.15, score: 138.0
Scores: (min: 14.0, avg: 233.19, max: 500.0)

Episode: 185, exploration: 0.15, score: 132.0
Scores: (min: 14.0, avg: 231.07, max: 500.0)

Episode: 186, exploration: 0.15, score: 125.0
Scores: (min: 14.0, avg: 230.55, max: 500.0)

Episode: 187, exploration: 0.15, score: 175.0
Scores: (min: 14.0, avg: 229.03, max: 500.0)

Episode: 188, exploration: 0.15, score: 132.0
Scores: (min: 14.0, avg: 226.45, max: 500.0)

Episode: 189, exploration: 0.15, score: 163.0
Scores: (min: 14.0, avg: 223.88, max: 500.0)

Episode: 190, exploration: 0.15, score: 140.0
Scores: (min: 14.0, avg: 220.28, max: 500.0)

Episode: 191, exploration: 0.15, score: 82.0
Scores: (min: 14.0, avg: 218.69, max: 500.0)

Episode: 192, exploration: 0.15, score: 140.0
Scores: (min: 14.0, avg: 219.76, max: 500.0)

Episode: 193, exploration: 0.15, score: 228.0
Scores: (min: 14.0, avg: 218.91, max: 500.0)

Episode: 194, exploration: 0.15, score: 277.0
Scores: (min: 14.0, avg: 218.86, max: 500.0)

Episode: 195, exploration: 0.15, score: 267.0
Scores: (min: 14.0, avg: 218.97, max: 500.0)

Episode: 196, exploration: 0.15, score: 71.0
Scores: (min: 14.0, avg: 216.07, max: 500.0)

Episode: 197, exploration: 0.15, score: 122.0
Scores: (min: 14.0, avg: 214.2, max: 500.0)

Episode: 198, exploration: 0.15, score: 140.0
Scores: (min: 14.0, avg: 213.05, max: 500.0)

Episode: 199, exploration: 0.15, score: 435.0
Scores: (min: 14.0, avg: 214.19, max: 500.0)

Episode: 200, exploration: 0.15, score: 27.0
Scores: (min: 14.0, avg: 211.63, max: 500.0)

Episode: 201, exploration: 0.15, score: 214.0
Scores: (min: 14.0, avg: 212.28, max: 500.0)

Episode: 202, exploration: 0.15, score: 168.0
Scores: (min: 14.0, avg: 211.04, max: 500.0)

Episode: 203, exploration: 0.15, score: 36.0
Scores: (min: 14.0, avg: 208.72, max: 500.0)

Episode: 204, exploration: 0.15, score: 157.0
Scores: (min: 14.0, avg: 205.29, max: 500.0)

Episode: 205, exploration: 0.15, score: 201.0
Scores: (min: 14.0, avg: 202.47, max: 500.0)

Episode: 206, exploration: 0.15, score: 99.0
Scores: (min: 14.0, avg: 200.96, max: 500.0)

Episode: 207, exploration: 0.15, score: 129.0
Scores: (min: 14.0, avg: 198.64, max: 500.0)

Episode: 208, exploration: 0.15, score: 287.0
Scores: (min: 14.0, avg: 197.26, max: 500.0)

Episode: 209, exploration: 0.15, score: 356.0
Scores: (min: 14.0, avg: 197.41, max: 500.0)

Episode: 210, exploration: 0.15, score: 124.0
Scores: (min: 14.0, avg: 195.49, max: 500.0)

Episode: 211, exploration: 0.15, score: 38.0
Scores: (min: 14.0, avg: 192.91, max: 500.0)

Episode: 212, exploration: 0.15, score: 500.0
Scores: (min: 14.0, avg: 197.24, max: 500.0)

Episode: 213, exploration: 0.15, score: 467.0
Scores: (min: 14.0, avg: 198.81, max: 500.0)

Episode: 214, exploration: 0.15, score: 16.0
Scores: (min: 14.0, avg: 197.92, max: 500.0)

Episode: 215, exploration: 0.15, score: 42.0
Scores: (min: 14.0, avg: 194.24, max: 500.0)

Episode: 216, exploration: 0.15, score: 87.0
Scores: (min: 14.0, avg: 193.7, max: 500.0)

Episode: 217, exploration: 0.15, score: 238.0
Scores: (min: 14.0, avg: 194.32, max: 500.0)

Episode: 218, exploration: 0.15, score: 133.0
Scores: (min: 14.0, avg: 193.42, max: 500.0)

Episode: 219, exploration: 0.15, score: 316.0
Scores: (min: 14.0, avg: 193.01, max: 500.0)

Episode: 220, exploration: 0.15, score: 321.0
Scores: (min: 14.0, avg: 194.55, max: 500.0)

Episode: 221, exploration: 0.15, score: 144.0
Scores: (min: 14.0, avg: 195.45, max: 500.0)

Episode: 222, exploration: 0.15, score: 133.0
Scores: (min: 14.0, avg: 194.59, max: 500.0)

Episode: 223, exploration: 0.15, score: 322.0
Scores: (min: 14.0, avg: 196.05, max: 500.0)

Episode: 224, exploration: 0.15, score: 16.0
Scores: (min: 14.0, avg: 193.0, max: 500.0)

Episode: 225, exploration: 0.15, score: 181.0
Scores: (min: 14.0, avg: 192.8, max: 500.0)

Episode: 226, exploration: 0.15, score: 290.0
Scores: (min: 14.0, avg: 195.36, max: 500.0)

Episode: 227, exploration: 0.15, score: 54.0
Scores: (min: 14.0, avg: 191.4, max: 500.0)

Episode: 228, exploration: 0.15, score: 327.0
Scores: (min: 14.0, avg: 192.54, max: 500.0)

Episode: 229, exploration: 0.15, score: 179.0
Scores: (min: 14.0, avg: 192.61, max: 500.0)

Episode: 230, exploration: 0.15, score: 39.0
Scores: (min: 14.0, avg: 190.68, max: 500.0)

Episode: 231, exploration: 0.15, score: 272.0
Scores: (min: 14.0, avg: 191.65, max: 500.0)

Episode: 232, exploration: 0.15, score: 97.0
Scores: (min: 14.0, avg: 190.14, max: 500.0)

Episode: 233, exploration: 0.15, score: 110.0
Scores: (min: 14.0, avg: 186.96, max: 500.0)

Episode: 234, exploration: 0.15, score: 341.0
Scores: (min: 14.0, avg: 186.79, max: 500.0)

Episode: 235, exploration: 0.15, score: 156.0
Scores: (min: 14.0, avg: 187.24, max: 500.0)

Episode: 236, exploration: 0.15, score: 500.0
Scores: (min: 14.0, avg: 190.16, max: 500.0)

Episode: 237, exploration: 0.15, score: 197.0
Scores: (min: 14.0, avg: 189.66, max: 500.0)

Episode: 238, exploration: 0.15, score: 110.0
Scores: (min: 14.0, avg: 189.27, max: 500.0)

Episode: 239, exploration: 0.15, score: 214.0
Scores: (min: 14.0, avg: 189.7, max: 500.0)

Episode: 240, exploration: 0.15, score: 105.0
Scores: (min: 14.0, avg: 189.53, max: 500.0)

Episode: 241, exploration: 0.15, score: 82.0
Scores: (min: 14.0, avg: 186.69, max: 500.0)

Episode: 242, exploration: 0.15, score: 313.0
Scores: (min: 14.0, avg: 188.14, max: 500.0)

Episode: 243, exploration: 0.15, score: 172.0
Scores: (min: 14.0, avg: 187.6, max: 500.0)

Episode: 244, exploration: 0.15, score: 382.0
Scores: (min: 14.0, avg: 189.67, max: 500.0)

Episode: 245, exploration: 0.15, score: 176.0
Scores: (min: 14.0, avg: 190.17, max: 500.0)

Episode: 246, exploration: 0.15, score: 42.0
Scores: (min: 14.0, avg: 188.05, max: 500.0)

Episode: 247, exploration: 0.15, score: 127.0
Scores: (min: 14.0, avg: 186.86, max: 500.0)

Episode: 248, exploration: 0.15, score: 10.0
Scores: (min: 10.0, avg: 184.8, max: 500.0)

Episode: 249, exploration: 0.15, score: 10.0
Scores: (min: 10.0, avg: 184.76, max: 500.0)

Episode: 250, exploration: 0.15, score: 215.0
Scores: (min: 10.0, avg: 186.7, max: 500.0)

Episode: 251, exploration: 0.15, score: 101.0
Scores: (min: 10.0, avg: 182.71, max: 500.0)

Episode: 252, exploration: 0.15, score: 93.0
