Results of experiments stored in: ./experiments/CartPole-v1_16


Episode: 152 (22497), exploration: 0.804304602044702, score: 13.0
Scores: (min: 9.0, avg: 23.97, max: 70.0)

Episode: 153 (22498), exploration: 0.8035005990066172, score: 16.0
Scores: (min: 9.0, avg: 24.01, max: 70.0)

Episode: 154 (22499), exploration: 0.8022961011388721, score: 24.0
Scores: (min: 9.0, avg: 24.09, max: 70.0)

Episode: 155 (22500), exploration: 0.8014941058486308, score: 15.0
Scores: (min: 9.0, avg: 23.95, max: 70.0)

Episode: 156 (22501), exploration: 0.7996925464206429, score: 37.0
Scores: (min: 9.0, avg: 24.07, max: 70.0)

Episode: 157 (22502), exploration: 0.7974961388004379, score: 44.0
Scores: (min: 9.0, avg: 23.81, max: 65.0)

Episode: 158 (22503), exploration: 0.7959025414434889, score: 29.0
Scores: (min: 9.0, avg: 23.76, max: 65.0)

Episode: 159 (22504), exploration: 0.7937165433185953, score: 44.0
Scores: (min: 9.0, avg: 23.9, max: 65.0)

Episode: 160 (22505), exploration: 0.7929231243693764, score: 17.0
Scores: (min: 9.0, avg: 23.77, max: 65.0)

Episode: 161 (22506), exploration: 0.7921304985416241, score: 16.0
Scores: (min: 9.0, avg: 23.8, max: 65.0)

Episode: 162 (22507), exploration: 0.7905476230800159, score: 32.0
Scores: (min: 9.0, avg: 23.98, max: 65.0)

Episode: 163 (22508), exploration: 0.7897573718628885, score: 18.0
Scores: (min: 9.0, avg: 24.03, max: 65.0)

Episode: 164 (22509), exploration: 0.7887706686230332, score: 20.0
Scores: (min: 9.0, avg: 24.11, max: 65.0)

Episode: 165 (22510), exploration: 0.7873913547831944, score: 26.0
Scores: (min: 9.0, avg: 23.86, max: 65.0)

Episode: 166 (22511), exploration: 0.7864076075862979, score: 21.0
Scores: (min: 9.0, avg: 23.95, max: 65.0)

Episode: 167 (22512), exploration: 0.7848361678965471, score: 33.0
Scores: (min: 9.0, avg: 23.87, max: 65.0)

Episode: 168 (22513), exploration: 0.7832678683375308, score: 30.0
Scores: (min: 9.0, avg: 24.05, max: 65.0)

Episode: 169 (22514), exploration: 0.781311900139582, score: 40.0
Scores: (min: 9.0, avg: 24.33, max: 65.0)

Episode: 170 (22515), exploration: 0.7807260626982507, score: 12.0
Scores: (min: 9.0, avg: 24.35, max: 65.0)

Episode: 171 (22516), exploration: 0.7795557052909562, score: 23.0
Scores: (min: 9.0, avg: 24.44, max: 65.0)

Episode: 172 (22517), exploration: 0.7785817477598681, score: 22.0
Scores: (min: 9.0, avg: 24.33, max: 65.0)

